地区,地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地区生产总值(亿元),年份
北京市,7205.12,5932.31,41045.6,2021年
天津市,3152.55,2141.06,15685.1,2021年
河北省,8848.21,4167.62,40397.1,2021年
山西省,5046.62,2834.47,22870.4,2021年
内蒙古自治区,5239.57,2349.95,21166,2021年
辽宁省,5879.21,2765.59,27569.5,2021年
吉林省,3696.84,1143.98,13163.8,2021年
黑龙江省,5104.81,1300.51,14858.2,2021年
上海市,8430.86,7771.8,43653.2,2021年
江苏省,14585.26,10015.16,117392.4,2021年
浙江省,11014.59,8262.64,74040.8,2021年
安徽省,7591.05,3498.19,42565.2,2021年
福建省,5204.72,3383.4,49566.1,2021年
江西省,6778.87,2812.23,29827.8,2021年
山东省,11713.16,7284.46,82875.2,2021年
河南省,9784.29,4353.92,58071.4,2021年
湖北省,7933.67,3283.32,50091.2,2021年
湖南省,8325.5,3250.69,45713.5,2021年
广东省,18247.01,14105.04,124719.5,2021年
广西壮族自治区,5806.54,1800.15,25209.1,2021年
海南省,1971.37,921.16,6504.1,2021年
重庆市,4835.06,2285.45,28077.3,2021年
四川省,11215.69,4773.15,54088,2021年
贵州省,5590.01,1969.39,19458.6,2021年
云南省,6634.36,2278.29,27161.6,2021年
西藏自治区,2027.01,215.62,2080.2,2021年
陕西省,6069.22,2775.42,30121.7,2021年
甘肃省,4032.56,1001.86,10225.5,2021年
青海省,1854.52,328.76,3385.1,2021年
宁夏回族自治区,1427.89,460.01,4588.2,2021年
新疆维吾尔自治区,5376.91,1618.61,16311.6,2021年
北京市,7116.18,5483.89,35943.3,2020年
天津市,3151.35,1923.11,14008,2020年
河北省,9022.79,3826.46,36013.8,2020年
山西省,5110.87,2296.57,17835.6,2020年
内蒙古自治区,5270.16,2051.2,17258,2020年
辽宁省,6014.17,2655.75,25011.4,2020年
吉林省,4127.17,1085.02,12256,2020年
黑龙江省,5449.41,1152.51,13633.4,2020年
上海市,8102.11,7046.3,38963.3,2020年
江苏省,13681.55,9058.99,102807.7,2020年
浙江省,10082.01,7248.24,64689.1,2020年
安徽省,7473.59,3216.01,38061.5,2020年
福建省,5216.1,3079.04,43608.6,2020年
江西省,6674.08,2507.54,25782,2020年
山东省,11233.52,6559.93,72798.2,2020年
河南省,10372.67,4168.84,54259.4,2020年
湖北省,8442.88,2511.54,43004.5,2020年
湖南省,8403.13,3008.66,41542.6,2020年
广东省,17430.79,12923.85,111151.6,2020年
广西壮族自治区,6179.47,1716.94,22120.9,2020年
海南省,1972.46,816.06,5566.2,2020年
重庆市,4893.95,2094.85,25041.4,2020年
四川省,11198.54,4260.89,48501.6,2020年
贵州省,5739.5,1786.8,17860.4,2020年
云南省,6974.02,2116.69,24555.7,2020年
西藏自治区,2210.92,220.99,1902.7,2020年
陕西省,5930.32,2257.31,26014.1,2020年
甘肃省,4163.4,874.55,8979.7,2020年
青海省,1932.84,297.99,3009.8,2020年
宁夏回族自治区,1480.36,419.44,3956.3,2020年
新疆维吾尔自治区,5533.16,1477.22,13800.7,2020年
北京市,7408.19,5817.1,35445.1,2019年
天津市,3555.71,2410.41,14055.5,2019年
河北省,8309.04,3738.99,34978.6,2019年
山西省,4710.76,2347.75,16961.6,2019年
内蒙古自治区,5100.91,2059.69,17212.5,2019年
辽宁省,5745.09,2652.4,24855.3,2019年
吉林省,3933.42,1116.95,11726.8,2019年
黑龙江省,5011.56,1262.76,13544.4,2019年
上海市,8179.28,7165.1,37987.6,2019年
江苏省,12573.55,8802.36,98656.8,2019年
浙江省,10053.03,7048.58,62462,2019年
安徽省,7392.22,3182.71,36845.5,2019年
福建省,5077.93,3052.93,42326.6,2019年
江西省,6386.8,2487.39,24667.3,2019年
山东省,10739.76,6526.71,70540.5,2019年
河南省,10163.93,4041.89,53717.8,2019年
湖北省,7970.21,3388.57,45429,2019年
湖南省,8034.42,3007.15,39894.1,2019年
广东省,17297.85,12654.53,107986.9,2019年
广西壮族自治区,5850.96,1811.89,21237.1,2019年
海南省,1858.6,814.14,5330.8,2019年
重庆市,4847.68,2134.93,23605.8,2019年
四川省,10348.17,4070.83,46363.8,2019年
贵州省,5948.74,1767.47,16769.3,2019年
云南省,6770.09,2073.56,23223.8,2019年
西藏自治区,2187.75,221.99,1697.8,2019年
陕西省,5718.52,2287.9,25793.2,2019年
甘肃省,3951.6,850.49,8718.3,2019年
青海省,1863.67,282.25,2941.1,2019年
宁夏回族自治区,1438.29,423.58,3748.5,2019年
新疆维吾尔自治区,5315.49,1577.63,13597.1,2019年
北京市,7471.43,5785.92,33106,2018年
天津市,3103.16,2106.24,13362.9,2018年
河北省,7726.21,3513.86,32494.6,2018年
山西省,4283.91,2292.7,15958.1,2018年
内蒙古自治区,4831.46,1857.65,16140.8,2018年
辽宁省,5337.72,2616.08,23510.5,2018年
吉林省,3789.59,1240.89,11253.8,2018年
黑龙江省,4676.75,1282.6,12846.5,2018年
上海市,8351.54,7108.15,36011.8,2018年
江苏省,11657.35,8630.16,93207.6,2018年
浙江省,8629.53,6598.21,58002.8,2018年
安徽省,6572.15,3048.67,34010.9,2018年
福建省,4832.69,3007.41,38687.8,2018年
江西省,5667.52,2373.01,22716.5,2018年
山东省,10100.96,6485.4,66648.9,2018年
河南省,9217.73,3766.02,49935.9,2018年
湖北省,7258.27,3307.08,42022,2018年
湖南省,7479.61,2860.84,36329.7,2018年
广东省,15729.26,12105.26,99945.2,2018年
广西壮族自治区,5310.74,1681.45,19627.8,2018年
海南省,1691.3,752.67,4910.7,2018年
重庆市,4540.95,2265.54,21588.8,2018年
四川省,9707.5,3911.01,42902.1,2018年
贵州省,5029.68,1726.85,15353.2,2018年
云南省,6075.03,1994.35,20880.6,2018年
西藏自治区,1970.68,230.35,1548.4,2018年
陕西省,5302.44,2243.14,23941.9,2018年
甘肃省,3772.23,871.05,8104.1,2018年
青海省,1647.43,272.89,2748,2018年
宁夏回族自治区,1419.06,436.52,3510.2,2018年
新疆维吾尔自治区,5012.45,1531.42,12809.4,2018年
北京市,6824.53,5430.79,29883,2017年
天津市,3282.54,2310.36,12450.6,2017年
河北省,6639.18,3233.83,30640.8,2017年
山西省,3756.42,1867,14484.3,2017年
内蒙古自治区,4529.93,1703.21,14898.1,2017年
辽宁省,4879.42,2392.77,21693,2017年
吉林省,3725.72,1210.91,10922,2017年
黑龙江省,4641.08,1243.31,12313,2017年
上海市,7547.62,6642.26,32925,2017年
江苏省,10621.03,8171.53,85869.8,2017年
浙江省,7530.32,5804.38,52403.1,2017年
安徽省,6203.81,2812.45,29676.2,2017年
福建省,4684.15,2809.03,33842.4,2017年
江西省,5111.47,2247.06,20210.8,2017年
山东省,9258.4,6098.63,63012.1,2017年
河南省,8215.52,3407.22,44824.9,2017年
湖北省,6801.26,3248.32,37235,2017年
湖南省,6869.39,2757.82,33828.1,2017年
广东省,15037.48,11320.35,91648.7,2017年
广西壮族自治区,4908.55,1615.13,17790.7,2017年
海南省,1443.97,674.11,4497.5,2017年
重庆市,4336.28,2252.38,20066.3,2017年
四川省,8694.76,3577.99,37905.1,2017年
贵州省,4612.52,1613.84,13605.4,2017年
云南省,5712.97,1886.17,18486,2017年
西藏自治区,1681.94,185.83,1349,2017年
陕西省,4833.19,2006.69,21473.5,2017年
甘肃省,3304.44,815.73,7336.7,2017年
青海省,1530.44,246.2,2465.1,2017年
宁夏回族自治区,1372.78,417.59,3200.3,2017年
新疆维吾尔自治区,4637.24,1466.52,11159.9,2017年
北京市,6406.77,5081.26,27041.2,2016年
天津市,3699.43,2723.5,11477.2,2016年
河北省,6049.53,2849.87,28474.1,2016年
山西省,3428.86,1557,11946.4,2016年
内蒙古自治区,4512.71,2016.43,13789.3,2016年
辽宁省,4577.47,2200.49,20392.5,2016年
吉林省,3586.09,1263.78,10427,2016年
黑龙江省,4227.34,1148.41,11895,2016年
上海市,6918.94,6406.13,29887,2016年
江苏省,9981.96,8121.23,77350.9,2016年
浙江省,6974.26,5301.98,47254,2016年
安徽省,5522.95,2672.79,26307.7,2016年
福建省,4275.4,2654.83,29609.4,2016年
江西省,4617.4,2151.47,18388.6,2016年
山东省,8755.21,5860.18,58762.5,2016年
河南省,7453.74,3153.47,40249.3,2016年
湖北省,6422.98,3102.06,33353,2016年
湖南省,6339.16,2697.88,30853.5,2016年
广东省,13446.09,10390.35,82163.2,2016年
广西壮族自治区,4441.7,1556.27,16116.6,2016年
海南省,1376.48,637.51,4090.2,2016年
重庆市,4001.81,2227.91,18023,2016年
四川省,8008.89,3388.85,33138.5,2016年
贵州省,4262.36,1561.34,11792.4,2016年
云南省,5018.86,1812.29,16369,2016年
西藏自治区,1587.98,155.99,1173,2016年
陕西省,4389.37,1833.99,19045.8,2016年
甘肃省,3150.03,786.97,6907.9,2016年
青海省,1524.8,238.51,2258.2,2016年
宁夏回族自治区,1254.54,387.66,2781.4,2016年
新疆维吾尔自治区,4138.25,1298.95,9630.8,2016年
北京市,5737.7,4723.86,24779.1,2015年
天津市,3232.35,2667.11,10879.5,2015年
河北省,5632.19,2649.18,26398.4,2015年
山西省,3422.97,1642.35,11836.4,2015年
内蒙古自治区,4252.96,1964.48,12949,2015年
辽宁省,4481.61,2127.39,20210.3,2015年
吉林省,3217.1,1229.35,10018,2015年
黑龙江省,4020.66,1165.88,11690,2015年
上海市,6191.56,5519.5,26887,2015年
江苏省,9687.58,8028.59,71255.9,2015年
浙江省,6645.98,4809.94,43507.7,2015年
安徽省,5239.01,2454.3,23831.2,2015年
福建省,4001.58,2544.24,26819.5,2015年
江西省,4412.55,2165.74,16780.9,2015年
山东省,8250.01,5529.33,55288.8,2015年
河南省,6799.35,3016.05,37084.1,2015年
湖北省,6132.84,3005.53,30344,2015年
湖南省,5728.72,2515.43,28538.6,2015年
广东省,12827.8,9366.78,74732.4,2015年
广西壮族自治区,4065.51,1515.16,14797.8,2015年
海南省,1239.43,627.7,3734.2,2015年
重庆市,3792,2154.83,16040.5,2015年
四川省,7497.51,3355.44,30342,2015年
贵州省,3939.5,1503.38,10541,2015年
云南省,4712.83,1808.1,14960,2015年
西藏自治区,1381.46,137.13,1043,2015年
陕西省,4376.06,2059.95,17898.8,2015年
甘肃省,2958.31,743.86,6556.6,2015年
青海省,1515.16,267.13,2011,2015年
宁夏回族自治区,1138.49,373.4,2579.4,2015年
新疆维吾尔自治区,3804.87,1330.9,9306.9,2015年
北京市,4524.67,4027.16,22926,2014年
天津市,2884.7,2390.35,10640.6,2014年
河北省,4677.3,2446.62,25208.9,2014年
山西省,3085.28,1820.64,12094.7,2014年
内蒙古自治区,3879.98,1843.67,12158.2,2014年
辽宁省,5080.49,3192.78,20025.7,2014年
吉林省,2913.25,1203.38,9966.5,2014年
黑龙江省,3434.22,1301.31,12170.8,2014年
上海市,4923.44,4585.55,25269.8,2014年
江苏省,8472.45,7233.14,64830.5,2014年
浙江省,5159.57,4122.02,40023.5,2014年
安徽省,4664.1,2218.44,22519.7,2014年
福建省,3306.7,2362.21,24942.1,2014年
江西省,3882.7,1881.83,15667.8,2014年
山东省,7177.31,5026.83,50774.8,2014年
河南省,6028.69,2739.26,34574.8,2014年
湖北省,4934.15,2566.9,28242.1,2014年
湖南省,5017.38,2262.79,25881.3,2014年
广东省,9152.64,8065.08,68173,2014年
广西壮族自治区,3479.79,1422.28,13587.8,2014年
海南省,1099.74,555.31,3449,2014年
重庆市,3304.39,1922.02,14623.8,2014年
四川省,6796.61,3061.07,28891.3,2014年
贵州省,3542.8,1366.67,9173.1,2014年
云南省,4437.98,1698.06,14041.7,2014年
西藏自治区,1185.51,124.27,939.7,2014年
陕西省,3962.5,1890.4,17402.5,2014年
甘肃省,2541.49,672.67,6518.4,2014年
青海省,1347.43,251.68,1847.7,2014年
宁夏回族自治区,1000.45,339.86,2473.9,2014年
新疆维吾尔自治区,3317.79,1282.34,9264.5,2014年
北京市,4173.66,3661.11,21134.6,2013年
天津市,2549.21,2079.07,9945.4,2013年
河北省,4409.58,2295.62,24259.6,2013年
山西省,3030.13,1701.62,11987.2,2013年
内蒙古自治区,3686.52,1720.98,11392.4,2013年
辽宁省,5197.42,3343.81,19208.8,2013年
吉林省,2744.81,1156.96,9427.9,2013年
黑龙江省,3369.18,1277.4,11849.1,2013年
上海市,4528.61,4109.51,23204.1,2013年
江苏省,7798.47,6568.46,59349.4,2013年
浙江省,4730.47,3796.92,37334.6,2013年
安徽省,4349.69,2075.08,20584,2013年
福建省,3068.8,2119.45,22503.8,2013年
江西省,3470.3,1621.24,14300.2,2013年
山东省,6688.8,4559.95,47344.3,2013年
河南省,5582.31,2415.45,31632.5,2013年
湖北省,4371.65,2191.22,25378,2013年
湖南省,4690.89,2030.88,23545.2,2013年
广东省,8411,7081.47,62503.4,2013年
广西壮族自治区,3208.67,1317.6,12448.4,2013年
海南省,1011.17,481.01,3115.9,2013年
重庆市,3062.28,1693.24,13027.6,2013年
四川省,6220.91,2784.1,26518,2013年
贵州省,3082.66,1206.41,7973.1,2013年
云南省,4096.51,1611.3,12825.5,2013年
西藏自治区,1014.31,95.02,828.2,2013年
陕西省,3665.07,1748.33,15905.4,2013年
甘肃省,2309.62,607.27,6014.5,2013年
青海省,1228.05,223.86,1713.3,2013年
宁夏回族自治区,922.48,308.34,2327.7,2013年
新疆维吾尔自治区,3067.12,1128.49,8392.6,2013年
