地区,年末常住人口(万人),地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政非税收入(亿元),地区生产总值(亿元),规模以上工业企业利润总额(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),规模以上工业企业R&D经费(万元),规模以上工业企业发明专利申请数(件),国内专利申请授权量(项),国内发明专利申请授权量(项),国内专利申请受理量(项),国内发明专利申请受理量(项),年份
黑龙江省,3399,4641.08,1243.31,901.91,341.41,12313.0,416.70,3519.5,5828.2,21206,27446,12665,825854,1648,18221,4947,30958,10607,2017年
上海市,2466,7547.62,6642.26,5865.51,776.75,32925.0,3243.80,9525.9,23288.3,58988,62596,27825,5399953,12329,72806,20681,131740,54630,2017年
江苏省,8423,10621.03,8171.53,6484.33,1687.21,85869.8,10052.54,39124.1,42700.5,35024,43622,19158,18338832,45719,227187,41518,514402,187005,2017年
浙江省,6170,7530.32,5804.38,4940.74,863.64,52403.1,4605.41,23246.7,27222.5,42046,51261,24956,10301447,21817,213805,28742,377115,98975,2017年
安徽省,6057,6203.81,2812.45,1970.68,841.77,29676.2,2352.44,12681.2,14412.7,21863,31640,12758,4361175,24394,58213,12440,175872,93527,2017年
福建省,4065,4684.15,2809.03,2052.64,756.39,33842.4,3221.82,16290.0,15337.3,30048,39001,16335,4487934,8810,68304,8718,128079,26456,2017年
江西省,4511,5111.47,2247.06,1515.01,732.05,20210.8,2355.56,9444.6,8930.9,22031,31198,13242,2216865,3949,33029,2238,70591,11507,2017年
山东省,10033,9258.40,6098.63,4419.40,1679.23,63012.1,8128.17,26925.6,31253.8,26930,36789,15118,15636785,28448,100522,19090,204859,67772,2017年
河南省,9829,8215.52,3407.22,2329.31,1077.91,44824.9,5352.43,20940.3,19745.3,20170,29558,12719,4722542,7704,55407,7914,119240,35625,2017年
湖北省,5904,6801.26,3248.32,2247.82,1000.49,37235.0,2608.03,15713.9,17992.2,23757,31889,13812,4689377,10112,46369,10880,110234,51569,2017年
湖南省,6633,6869.39,2757.82,1759.13,998.69,33828.1,2093.98,13459.8,17369.9,23103,33948,12936,4617716,9144,37916,7909,77934,31365,2017年
广东省,12141,15037.48,11320.35,8871.89,2448.46,91648.7,8864.36,38536.6,49500.7,33003,40975,15780,18650313,86724,332652,45740,627834,182639,2017年
广西壮族自治区,4907,4908.55,1615.13,1057.69,557.44,17790.7,1610.95,6138.3,8774.1,19905,30502,11325,935996,2502,15270,4553,56988,37976,2017年
海南省,972,1443.97,674.11,543.56,130.54,4497.5,110.03,996.4,2538.4,22553,30817,12902,74815,267,2133,373,4564,1627,2017年
重庆市,3144,4336.28,2252.38,1476.33,776.05,20066.3,1501.87,8455.0,10335.2,24153,32193,12638,2799986,5149,34780,6138,64648,19297,2017年
四川省,8289,8694.76,3577.99,2430.32,1147.66,37905.1,2824.26,14569.2,19073.5,20580,30727,12227,3010846,10335,64006,11367,167484,64642,2017年
贵州省,3803,4612.52,1613.84,1179.73,434.11,13605.4,903.43,4970.9,6602.3,16704,29080,8869,648576,2542,12559,1875,34610,13885,2017年
云南省,4693,5712.97,1886.17,1233.85,652.32,18486.0,782.65,6317.8,9829.8,18348,30996,9862,885588,1891,14230,2259,28695,7801,2017年
西藏自治区,349,1681.94,185.83,122.70,63.13,1349.0,26.60,469.6,761.2,15457,30671,10330,3186,12,420,42,1097,273,2017年
陕西省,3904,4833.19,2006.69,1485.58,521.11,21473.5,2274.43,10114.1,9618.3,20635,30810,10265,1963697,3939,34554,8774,98935,46607,2017年
甘肃省,2522,3304.44,815.73,547.14,268.59,7336.7,244.54,2515.8,3961.2,16011,27763,8076,466912,1052,9672,1340,24448,5785,2017年
青海省,586,1530.44,246.20,183.96,62.23,2465.1,101.11,975.7,1251.0,19001,29169,9462,83276,271,1580,240,3181,949,2017年
宁夏回族自治区,705,1372.78,417.59,270.30,147.29,3200.3,146.04,1406.0,1543.7,20562,29472,10738,291101,937,4244,657,8575,2561,2017年
新疆维吾尔自治区,2480,4637.24,1466.52,944.38,522.14,11159.9,722.57,4096.2,5511.9,19975,30775,11045,400468,961,8094,950,14260,3207,2017年
北京市,2195,6406.77,5081.26,4452.97,628.29,27041.2,1608.26,4665.8,22245.7,52530,57275,22310,2548433,9392,100578,40602,189129,104643,2016年
天津市,1443,3699.43,2723.50,1624.22,1099.28,11477.2,2046.69,4368.0,6940.8,34074,37110,20076,3499551,7300,39734,5185,106514,38153,2016年
河北省,7375,6049.53,2849.87,1996.12,853.75,28474.1,2815.11,12332.3,13059.3,19725,28249,11919,3086608,4120,31826,4247,54838,14141,2016年
山西省,3514,3428.86,1557.00,1036.67,520.33,11946.4,294.78,5113.6,6108.5,19049,27352,10082,976283,1410,10062,2411,20031,8208,2016年
内蒙古自治区,2436,4512.71,2016.43,1335.88,680.55,13789.3,1344.41,5579.8,6558.9,24127,32975,11609,1279853,1321,5846,871,10672,2878,2016年
辽宁省,4327,4577.47,2200.49,1687.45,513.04,20392.5,575.39,7865.7,10685.6,26040,32876,12881,2420637,4382,25104,6731,52603,25561,2016年
吉林省,2567,3586.09,1263.78,872.97,390.81,10427.0,1268.49,3901.4,5395.5,19967,26530,12123,908602,1176,9995,2428,18922,7537,2016年
黑龙江省,3463,4227.34,1148.41,827.85,320.56,11895.0,295.54,3689.7,5454.0,19838,25736,11832,884925,1934,18046,4345,35293,13177,2016年
上海市,2467,6918.94,6406.13,5625.90,780.23,29887.0,2913.91,8570.2,21202.4,54305,57692,25520,4900778,11293,64230,20086,119937,54339,2016年
江苏省,8381,9981.96,8121.23,6531.83,1589.40,77350.9,10574.40,35041.5,38269.6,32070,40152,17606,16575418,49229,231033,40952,512429,184632,2016年
浙江省,6072,6974.26,5301.98,4540.09,761.89,47254.0,4469.42,21571.3,23792.4,38529,47237,22866,9357877,19280,221456,26576,393147,93254,2016年
安徽省,6033,5522.95,2672.79,1857.53,815.26,26307.7,2242.26,11517.5,12300.5,19998,29156,11720,3709224,23322,60983,15292,172552,95963,2016年
福建省,4016,4275.40,2654.83,1962.72,692.11,29609.4,2889.26,14683.7,12780.6,27608,36014,14999,3882632,8162,67142,7170,130376,27041,2016年
江西省,4496,4617.40,2151.47,1471.10,680.37,18388.6,2443.93,8732.5,7862.0,20110,28673,12138,1797561,3290,31472,1914,60494,8202,2016年
山东省,9973,8755.21,5860.18,4212.59,1647.59,58762.5,8820.02,25565.0,28367.2,24685,34012,13954,14150035,22769,98093,19404,212911,88359,2016年
河南省,9778,7453.74,3153.47,2158.44,995.03,40249.3,5240.61,18986.9,17198.8,18443,27233,11697,4096962,6197,49145,6811,94669,28582,2016年
湖北省,5885,6422.98,3102.06,2122.93,979.13,33353.0,2713.46,14527.0,15419.5,21787,29386,12725,4459622,9227,41822,8517,95157,43789,2016年
湖南省,6625,6339.16,2697.88,1551.33,1146.55,30853.5,2028.59,12942.0,14995.9,21115,31284,11930,3929647,8021,34050,6967,67779,25524,2016年
广东省,11908,13446.09,10390.35,8098.63,2291.72,82163.2,8383.04,35499.2,43163.5,30296,37684,14512,16762749,68168,259032,38626,505667,155581,2016年
广西壮族自治区,4857,4441.70,1556.27,1036.22,520.05,16116.6,1393.35,5621.0,7695.3,18305,28324,10359,827248,2660,14858,5159,59239,43078,2016年
海南省,957,1376.48,637.51,504.96,132.55,4090.2,101.87,904.0,2261.5,20653,28453,11843,79819,360,1939,383,3658,1278,2016年
重庆市,3110,4001.81,2227.91,1438.45,789.46,18023.0,1648.36,7765.4,9020.7,22034,29610,11549,2374859,5392,42738,5044,59518,19981,2016年
四川省,8251,8008.89,3388.85,2329.23,1059.62,33138.5,2339.82,13450.1,15787.8,18808,28335,11203,2572607,8523,62445,10350,142522,54277,2016年
贵州省,3758,4262.36,1561.34,1120.44,440.90,11792.4,847.02,4468.7,5461.8,15121,26743,8090,556853,2021,10425,2036,25315,10953,2016年
云南省,4677,5018.86,1812.29,1173.52,638.77,16369.0,334.98,5747.4,8396.1,16720,28611,9020,741847,1878,12032,2125,23709,7907,2016年
西藏自治区,340,1587.98,155.99,99.05,56.94,1173.0,16.94,390.4,672.1,13639,27802,9094,4003,15,245,33,712,176,2016年
陕西省,3874,4389.37,1833.99,1204.39,629.60,19045.8,1589.00,8906.5,8443.2,18874,28440,9396,1844216,3360,48455,7503,69611,22565,2016年
甘肃省,2520,3150.03,786.97,526.00,260.97,6907.9,72.68,2483.5,3623.7,14670,25693,7457,509228,814,7975,1308,20276,6114,2016年
青海省,582,1524.80,238.51,176.48,62.03,2258.2,80.02,867.7,1169.3,17302,26757,8664,77940,285,1357,271,3284,1381,2016年
宁夏回族自治区,695,1254.54,387.66,246.55,141.11,2781.4,143.23,1179.7,1360.7,18832,27153,9852,239624,909,2677,560,6149,2510,2016年
新疆维吾尔自治区,2428,4138.25,1298.95,869.18,429.77,9630.8,386.59,3446.1,4711.6,18355,28463,10183,390946,777,7116,910,14105,3598,2016年
北京市,2188,5737.70,4723.86,4263.91,459.95,24779.1,1597.71,4419.8,20218.9,48458,52859,20569,2440875,10281,94031,35308,156312,88930,2015年
天津市,1439,3232.35,2667.11,1578.07,1089.05,10879.5,2221.82,4489.6,6227.6,31291,34101,18482,3526665,6507,37342,4624,79963,28510,2015年
河北省,7345,5632.19,2649.18,1934.29,714.89,26398.4,2360.99,11519.5,11778.4,18118,26152,11051,2858051,3393,30130,3840,44060,11259,2015年
山西省,3519,3422.97,1642.35,1056.60,585.75,11836.4,-30.69,5219.7,5890.5,17854,25828,9454,1008950,1303,10020,2432,14948,5680,2015年
内蒙古自治区,2440,4252.96,1964.48,1320.75,643.74,12949.0,1048.55,5269.5,6049.2,22310,30594,10776,1186261,1031,5522,797,8876,2254,2015年
辽宁省,4338,4481.61,2127.39,1650.45,476.94,20210.3,1069.66,8344.6,9811.9,24576,31126,12057,2418803,4131,25182,6569,42153,19332,2015年
吉林省,2613,3217.10,1229.35,867.12,362.23,10018.0,1208.47,3837.8,4909.6,18684,24901,11326,861541,787,8878,2240,14800,6154,2015年
黑龙江省,3529,4020.66,1165.88,880.34,285.53,11690.0,465.09,3926.9,5050.9,18593,24203,11095,880392,1752,18943,4024,34611,14663,2015年
上海市,2458,6191.56,5519.50,4858.16,661.34,26887.0,2680.53,8408.7,18352.8,49867,52962,23205,4742443,10740,60623,17601,100006,46976,2015年
江苏省,8315,9687.58,8028.59,6610.12,1418.47,71255.9,9686.84,33371.8,33931.7,29539,37173,16257,15065065,41744,250290,36015,428337,154608,2015年
浙江省,5985,6645.98,4809.94,4168.22,641.72,43507.7,3839.99,20606.6,21129.8,35537,43714,21125,8535689,17242,234983,23345,307264,67674,2015年
安徽省,6011,5239.01,2454.30,1799.89,654.41,23831.2,2000.12,10838.3,10616.8,18363,26936,10821,3221422,19967,59039,11180,127709,68314,2015年
福建省,3984,4001.58,2544.24,1938.71,605.53,26819.5,2359.82,13735.7,11150.9,25404,33275,13793,3469810,6880,61621,5730,83146,17663,2015年
江西省,4485,4412.55,2165.74,1517.03,648.71,16780.9,2114.65,8367.7,6698.8,18437,26500,11139,1474968,2522,24161,1639,36936,5722,2015年
山东省,9866,8250.01,5529.33,4203.12,1326.21,55288.8,8660.48,24814.9,25571.1,22703,31545,12930,12917718,19621,98101,16881,193220,93475,2015年
河南省,9701,6799.35,3016.05,2101.17,914.88,37084.1,4900.60,17947.9,15120.7,17125,25576,10853,3688252,5250,47766,5384,74373,21338,2015年
湖北省,5850,6132.84,3005.53,2086.50,919.03,30344.0,2456.00,13569.5,13664.6,20026,27051,11844,4072726,7227,38781,7766,74240,30204,2015年
湖南省,6615,5728.72,2515.43,1527.52,987.91,28538.6,1808.70,12665.7,13125.0,19317,28838,10993,3525450,7591,34075,6776,54501,19499,2015年
广东省,11678,12827.80,9366.78,7377.07,1989.71,74732.4,7723.16,33913.8,37628.9,27859,34757,13360,15205497,51672,241176,33477,355939,103941,2015年
广西壮族自治区,4811,4065.51,1515.16,1031.65,483.51,14797.8,1279.06,5391.0,6841.4,16873,26416,9467,769190,2005,13573,4017,43696,30815,2015年
海南省,945,1239.43,627.70,514.31,113.39,3734.2,103.61,882.9,2016.0,18979,26356,10858,111841,312,2061,417,3127,1211,2015年
重庆市,3070,3792.00,2154.83,1450.93,703.90,16040.5,1411.86,7208.0,7764.8,20110,27239,10505,1996609,6758,38914,3964,82791,35086,2015年
四川省,8196,7497.51,3355.44,2353.51,1001.93,30342.0,2171.26,13192.5,13488.6,17221,26205,10247,2238051,8085,64953,9105,110746,40437,2015年
贵州省,3708,3939.50,1503.38,1126.03,377.35,10541.0,732.76,4026.7,4872.3,13697,24580,7387,457303,1953,14115,1501,18295,7538,2015年
云南省,4663,4712.83,1808.10,1210.54,597.61,14960.0,465.53,5491.7,7389.0,15223,26373,8242,619588,1493,11658,2079,17603,6301,2015年
西藏自治区,330,1381.46,137.13,92.00,45.13,1043.0,6.93,341.8,607.6,12254,25457,8244,2602,14,198,40,309,128,2015年
陕西省,3846,4376.06,2059.95,1290.33,769.63,17898.8,1441.30,8664.6,7634.5,17395,26420,8689,1725829,3036,33350,6812,74904,17322,2015年
甘肃省,2523,2958.31,743.86,529.79,214.07,6556.6,-91.89,2505.4,3317.8,13467,23767,6936,486077,698,6912,1238,14584,5504,2015年
青海省,577,1515.16,267.13,205.81,61.33,2011.0,67.85,761.1,1041.0,15813,24542,7933,65029,144,1217,207,2590,1103,2015年
宁夏回族自治区,684,1138.49,373.40,256.31,117.13,2579.4,85.34,1116.8,1225.8,17329,25186,9119,200453,761,1865,442,4394,2626,2015年
新疆维吾尔自治区,2385,3804.87,1330.90,861.73,469.12,9306.9,340.97,3446.1,4451.2,16859,26275,9425,366180,788,8761,950,12250,3024,2015年
北京市,2171,4524.67,4027.16,3861.29,165.87,22926.0,1515.75,4433.0,18333.9,44489,48532,18867,2335010,9835,74661,23237,138111,78129,2014年
天津市,1429,2884.70,2390.35,1486.88,903.47,10640.6,2261.83,4615.5,5866.3,28832,31506,17014,3228057,6996,26351,3279,63422,23391,2014年
河北省,7323,4677.30,2446.62,1866.06,580.56,25208.9,2610.90,11476.9,10567.3,16647,24141,10186,2606711,3519,20132,2286,30000,8332,2014年
山西省,3528,3085.28,1820.64,1134.34,686.29,12094.7,256.31,6378.0,4980.1,16538,24069,8809,1247027,1777,8371,1559,15687,6107,2014年
内蒙古自治区,2449,3879.98,1843.67,1251.07,592.60,12158.2,1299.32,5114.4,5405.8,20559,28350,9976,1080287,974,4031,458,6359,1924,2014年
辽宁省,4358,5080.49,3192.78,2330.57,862.21,20025.7,2107.63,9038.8,8984.9,22820,29082,11191,3242303,5165,19525,3975,37860,18417,2014年
吉林省,2642,2913.25,1203.38,884.40,318.98,9966.5,1445.89,3804.9,4891.5,17520,23218,10780,789431,1045,6696,1434,11933,5288,2014年
黑龙江省,3608,3434.22,1301.31,977.40,323.92,12170.8,1007.08,4872.4,4607.4,17404,22609,10453,955820,1840,15412,2454,31856,13468,2014年
上海市,2467,4923.44,4585.55,4219.05,366.50,25269.8,2650.00,8633.3,16504.5,45966,48841,21192,4492192,12524,50488,11614,81664,39133,2014年
江苏省,8281,8472.45,7233.14,6006.05,1227.10,64830.5,9057.17,31048.8,30174.3,27173,34346,14958,13765378,39858,200032,19671,421907,146660,2014年
浙江省,5890,5159.57,4122.02,3853.96,268.06,40023.5,3729.13,19580.7,18716.2,32658,40393,19373,7681473,16824,188544,13372,261435,52406,2014年
安徽省,5997,4664.10,2218.44,1692.52,525.92,22519.7,1943.62,10982.6,9242.1,16796,24839,9916,2847303,15701,48380,5184,99160,49960,2014年
福建省,3945,3306.70,2362.21,1893.73,468.48,24942.1,2344.27,13165.1,9921.2,23331,30722,12650,3153831,6447,37857,3426,58075,12529,2014年
江西省,4480,3882.70,1881.83,1381.13,500.70,15667.8,2130.41,8238.7,5802.3,16734,24309,10117,1284642,2516,13831,1033,25594,4688,2014年
山东省,9808,7177.31,5026.83,3965.76,1061.07,50774.8,8843.91,23588.0,22524.0,20864,29222,11882,11755482,17299,72818,10538,158619,77298,2014年
河南省,9645,6028.69,2739.26,1951.46,787.80,34574.8,4946.19,17139.6,13446.9,15695,23672,9966,3372310,5072,33366,3493,62434,19646,2014年
湖北省,5816,4934.15,2566.90,1873.11,693.78,28242.1,2402.63,13007.9,12232.6,18283,24852,10849,3629506,6471,28290,4855,59050,22536,2014年
湖南省,6611,5017.38,2262.79,1438.52,824.27,25881.3,1688.30,11825.1,11385.2,17622,26570,10060,3100446,7333,26637,4160,44194,14474,2014年
广东省,11489,9152.64,8065.08,6510.47,1554.61,68173.0,7014.99,31930.4,33204.0,25685,32148,12246,13752869,55624,179953,22276,278358,75147,2014年
广西壮族自治区,4770,3479.79,1422.28,978.07,444.21,13587.8,1085.71,5145.6,6028.8,15557,24669,8683,848808,2423,9664,1933,32298,22237,2014年
海南省,936,1099.74,555.31,480.55,74.75,3449.0,113.36,826.5,1829.3,17476,24487,9913,111010,505,1597,380,2416,969,2014年
重庆市,3043,3304.39,1922.02,1281.83,640.19,14623.8,1229.65,6774.6,6858.5,18352,25147,9490,1664720,3696,24312,2321,55298,19418,2014年
四川省,8139,6796.61,3061.07,2312.46,748.61,28891.3,2237.00,13082.7,12283.9,15749,24234,9348,1960112,7800,47120,5682,91167,29926,2014年
贵州省,3677,3542.80,1366.67,1026.70,339.97,9173.1,628.68,3582.4,4309.3,12371,22548,6671,410132,1918,10107,1047,22467,8203,2014年
云南省,4653,4437.98,1698.06,1233.23,464.83,14041.7,516.08,5376.5,6657.7,13772,24299,7456,516572,1281,8124,1423,13343,4732,2014年
西藏自治区,325,1185.51,124.27,85.86,38.41,939.7,12.56,310.3,541.3,10730,22016,7359,2943,6,146,50,248,92,2014年
陕西省,3827,3962.50,1890.40,1335.68,554.72,17402.5,1877.44,9045.0,6790.6,15837,24366,7932,1606946,3171,22820,4885,56235,24399,2014年
甘肃省,2531,2541.49,672.67,490.26,182.41,6518.4,243.17,2823.3,2999.4,12185,21804,6277,464410,778,5097,812,12020,4986,2014年
青海省,576,1347.43,251.68,199.39,52.28,1847.7,106.19,714.8,917.0,14374,22307,7283,92528,111,619,110,1534,660,2014年
宁夏回族自治区,678,1000.45,339.86,250.33,89.54,2473.9,118.06,1113.7,1143.4,15907,23285,8410,186518,611,1424,243,3532,2183,2014年
新疆维吾尔自治区,2325,3317.79,1282.34,887.79,394.54,9264.5,731.65,3829.3,4028.5,15097,23214,8724,357812,805,5238,605,10210,2360,2014年
北京市,2125,4173.66,3661.11,3514.52,146.59,21134.6,1282.88,4168.3,16806.5,40830,44564,17101,2130618,9240,62671,20695,123336,67554,2013年
天津市,1410,2549.21,2079.07,1310.66,768.41,9945.4,2258.93,4407.1,5383.6,26359,28980,15353,3000377,6446,24856,3141,60915,21946,2013年
河北省,7288,4409.58,2295.62,1724.87,570.75,24259.6,2734.70,11178.4,9939.3,15190,22227,9188,2327418,3054,18186,2008,27619,7329,2013年
山西省,3535,3030.13,1701.62,1136.89,564.74,11987.2,614.59,6684.3,4605.3,15120,22258,7949,1237698,1807,8565,1332,18859,6025,2013年
内蒙古自治区,2455,3686.52,1720.98,1215.20,505.79,11392.4,2014.06,4870.1,4939.4,18693,26004,8985,1004406,981,3836,549,6388,1935,2013年
辽宁省,4365,5197.42,3343.81,2521.62,822.20,19208.8,2976.15,9204.2,8031.2,20818,26697,10161,3331303,5226,21656,3830,45996,25292,2013年
吉林省,2668,2744.81,1156.96,856.41,300.55,9427.9,1278.39,3572.1,4605.5,15998,21331,9781,698136,971,6219,1496,10751,4549,2013年
黑龙江省,3666,3369.18,1277.40,912.82,364.58,11849.1,1185.49,5202.7,4106.9,15903,20848,9369,950335,1683,19819,2238,32264,10338,2013年
上海市,2448,4528.61,4109.51,3797.16,312.35,23204.1,2392.05,8286.5,14786.0,42174,44878,19208,4047800,11377,48680,10644,86450,39157,2013年
江苏省,8192,7798.47,6568.46,5419.49,1148.98,59349.4,8379.50,29149.4,26752.5,24776,31585,13521,12395745,33090,239645,16790,504500,141259,2013年
浙江省,5784,4730.47,3796.92,3545.66,251.26,37334.6,3561.26,18162.8,17453.1,29775,37080,17494,6843562,15036,202350,11139,294014,42744,2013年
安徽省,5988,4349.69,2075.08,1520.22,554.86,20584.0,2108.77,10233.4,8177.4,15154,22789,8850,2477246,10866,48849,4241,93353,34857,2013年
福建省,3885,3068.80,2119.45,1723.28,396.16,22503.8,2227.45,11805.5,8953.2,21218,28174,11405,2791966,5475,37511,2941,53701,9884,2013年
江西省,4476,3470.30,1621.24,1178.74,442.49,14300.2,1802.24,7661.9,5097.7,15100,22120,9089,1106443,1669,9970,923,16938,3931,2013年
山东省,9746,6688.80,4559.95,3533.49,1026.46,47344.3,8715.36,22615.9,20274.3,19008,26882,10687,10528097,15254,76976,8913,155170,67642,2013年
河南省,9573,5582.31,2415.45,1764.71,650.74,31632.5,4543.07,15995.4,11809.9,14204,21741,8969,2953410,4182,29482,3173,55920,15580,2013年
湖北省,5798,4371.65,2191.22,1604.85,586.37,25378.0,2475.07,11846.3,10648.0,16472,22668,9692,3117987,6119,28760,4052,50816,18189,2013年
湖南省,6600,4690.89,2030.88,1299.15,731.73,23545.2,2047.87,10913.8,10042.3,16005,24352,9029,2703987,6880,24392,3613,41336,11938,2013年
广东省,11270,8411.00,7081.47,5767.94,1313.53,62503.4,6496.42,29343.0,30284.0,23421,29537,11068,12374791,47213,170430,20084,264265,68990,2013年
广西壮族自治区,4731,3208.67,1317.60,875.74,441.86,12448.4,1014.24,4709.3,5448.4,14082,22689,7793,817063,2234,7884,1295,23251,14382,2013年
海南省,920,1011.17,481.01,411.63,69.38,3115.9,123.16,750.9,1641.4,15733,22411,8802,93567,389,1331,449,2359,921,2013年
重庆市,3011,3062.28,1693.24,1112.62,580.63,13027.6,907.60,5988.6,6097.7,16569,23058,8493,1388199,2509,24828,2360,49036,12562,2013年
四川省,8109,6220.91,2784.10,2103.51,680.59,26518.0,2328.99,12418.9,10841.7,14231,22228,8381,1688902,5666,46171,4566,82453,23510,2013年
贵州省,3632,3082.66,1206.41,839.67,366.75,7973.1,636.60,3171.0,3802.7,11083,20565,5898,342541,1516,7915,776,17405,3988,2013年
云南省,4641,4096.51,1611.30,1215.66,395.64,12825.5,630.63,5000.5,5946.5,12578,22460,6724,454278,1167,6804,1312,11512,3961,2013年
西藏自治区,317,1014.31,95.02,71.54,23.49,828.2,7.34,270.8,476.2,9740,20394,6553,4617,8,121,44,203,92,2013年
陕西省,3804,3665.07,1748.33,1256.24,492.09,15905.4,2151.37,8418.0,6023.9,14372,22346,7092,1401480,3161,20836,4133,57287,26487,2013年
甘肃省,2537,2309.62,607.27,417.73,189.55,6014.5,300.46,2674.0,2682.4,10954,19873,5589,400743,638,4737,785,10976,3735,2013年
青海省,571,1228.05,223.86,175.05,48.81,1713.3,149.07,681.0,827.6,12948,20352,6462,89540,132,502,91,1099,520,2013年
宁夏回族自治区,666,922.48,308.34,237.49,70.85,2327.7,179.97,1059.5,1057.5,14566,21476,7599,167494,607,1211,184,3230,1792,2013年
新疆维吾尔自治区,2285,3067.12,1128.49,826.34,302.15,8392.6,855.23,3479.9,3586.2,13670,21091,7847,314257,550,4998,540,8224,2081,2013年
